id,decisao,estado,data,evidencia,responsavel
D-001,H1 — modalidade da edição,aprovado,2026-08-03,"Edição curada de referência (seletiva; não é instantâneo integral). Regra de inclusão: objetos selecionados, revisão documental completa, autoria/direitos resolvidos, sem P2/P3, metadados conferidos, portão humano. Não iniciar campanha de homologação indiscriminada dos 259 arquivos; primeiro definir corpus mínimo.",Fabio Takwara
D-002,B1 — instalação das oito skills,resolvido,2026-08-03,8 skills instaladas em ~/.hermes/skills/acervo/; reconhecidas por skills_list; checksums internos e externos aprovados; scripts Python compilados. Observação anterior de inexistência: superada (diagnóstico pré-instalação).,Hermes/Fabio Takwara
D-003,Tarefas irmãs (semiótica-relacional e renderização 3D),paralelas,2026-08-03,"Trilhas paralelas, fora da edição 2026.1; não bloqueiam congelamento; produtos não entram na edição sem nova decisão de escopo. Atlas 3D, assets e conteúdos protegíveis fora do pacote.",Fabio Takwara
D-004,"Cadernos 1, 3 e 4 — depósitos Zenodo preexistentes",incorporar,2026-08-03,DOIs 10.5281/zenodo.21738428 / .21738550 / .21738559 (Cad1 e Cad3 v1.1; Cad4 depositado como v1.2). Registrar no MAPA_DOIS_ZENODO.csv e na edição.,Fabio Takwara
D-005,PDFs dos Cadernos 1 e 4 — verificação obrigatória,bloqueado,2026-08-03,Confirmado: PDFs depositados (PT e EN) com rodapé 'Edição pública candidata'; MD EN do Cad1 com 'candidate'. Classificação: correção material editorial. Bloquear inclusão na edição até decisão sobre versão corrigida. Proposta de nova versão (New version) sem publicar nesta rodada.,Fabio Takwara
D-006,Traduções EN/ES dos artigos metodológicos (PR #15),executado,2026-08-03,Job autônomo autorizado em 01/08 executou em 03/08: commit 749a1ac com 4 traduções (EN/ES) + links de idioma; push em origin/v1.1/artigos-metodologicos-acervo; Governance Check success (run 30810703795). PR #15 permanece DRAFT.,Hermes (job e13696c7f359)
D-007,Divergência de main (local 504b29c x remoto f858208),documentada,2026-08-03,"Históricos divergem desde dc810b3 (21/06). Main local: 99 commits exclusivos (agroecologia/SAF P1-P4, Brienza, Pazos) NÃO existentes em nenhuma branch remota. Main remoto: 114 commits exclusivos (v1.1 bambu, reforma agrária, matriz, revisão epistêmica A.1). Sem fetch/pull/merge nesta rodada. Risco: trabalho de agroecologia existe apenas no clone local.",Hermes
D-008,H2 — corpus e exclusões da Edição 2026.1,aprovado-com-condicoes,2026-08-03,"Aprovado com condições: Frentes B, C e D podem avançar; corpus nuclear (estados da arte 5 eixos, Cadernos 1-7, artigos PR #15 condicionados, artefatos autorais P0/P1) e exclusões aprovados; sem merge, sem promoção de estado, sem tag/release, sem DOI, sem publicação Zenodo, sem divulgação. Fonte: DECISAO_H2_EDICAO_2026_1.md",Fabio Takwara
D-009,Salvaguarda e PR de resgate agroecologia/SAF,autorizado-preparacao,2026-08-03,"Autorizada preservação não destrutiva (backup completo + git bundle --all + SHA-256 + cópia externa) e preparação de branch de resgate + PR DRAFT a partir do main remoto corrente, importando somente trabalho autoral ausente; merge NÃO autorizado (exige novo portão por head SHA). Proibido: push --force, substituir histórico remoto, mesclar históricos completos, reset --hard, apagar branches, limpar untracked.",Fabio Takwara
D-010,Novas versões Zenodo dos Cadernos 1 e 4,autorizado-preparacao,2026-08-03,"Autorizada PREPARAÇÃO de novas versões corrigidas (remover 'Edição pública candidata', corrigir PT/EN, revisar MD EN Cad1, manter identidade, atualizar versão, CHANGELOG, checksums, metadados, vincular ao conceitual). Publicação NÃO autorizada (portão próprio; sem substituição silenciosa).",Fabio Takwara
D-011,Auditoria e atualização dos PRs #11–#14,autorizado-preparacao,2026-08-03,Autorizada auditoria e atualização controlada: PR #11 (reconciliar index.md preservando revisão epistêmica do main); PRs #12→#13→#14 sequenciais (reconciliar mkdocs.yml); validadores; relatórios; apresentar head SHA. Merges NÃO autorizados.,Fabio Takwara
